"D_DF1_sample-1" "D_DF1_sample-2" "D_DF1_sample-3" "D_DF1-I_sample-1" "D_DF1-I_sample-2" "D_DF1-I_sample-3" "D_DF1-P_sample-1" "D_DF1-P_sample-2" "D_DF1-P_sample-3" "D_DF1-P-I_sample-1" "D_DF1-P-I_sample-2" "D_DF1-P-I_sample-3" "D_DF1-PC_sample-1" "D_DF1-PC_sample-2" "D_DF1-PC_sample-3" "D_DF1-PC-I_sample-1" "D_DF1-PC-I_sample-2" "D_DF1-PC-I_sample-3"
"ADGRA2" 65 72 50 60 53 60 79 65 72 56 63 78 65 50 58 78 69 44
"ADGRA3" 2 0 1 1 5 1 0 0 1 0 1 1 1 2 0 3 2 0
"ADGRB1" 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
"ADGRB2" 2 0 2 6 6 5 1 7 1 0 3 0 3 2 5 4 0 4
"ADGRB3" 0 0 1 0 2 0 0 0 0 0 0 0 0 4 2 1 1 1
"ADGRD1" 0 4 5 3 0 4 1 6 0 0 0 0 1 1 1 1 2 0
"ADGRD2" 0 0 2 8 3 4 0 0 1 0 0 1 2 1 0 3 0 0
"ADGRF4" 2 0 1 2 1 0 0 0 0 1 0 0 0 1 1 0 1 0
"ADGRF5" 0 0 2 6 2 2 0 0 0 0 0 0 0 0 2 0 0 0
"ADGRG1" 0 1 0 5 0 1 0 0 0 0 1 0 0 0 3 0 2 2
"ADGRG2" 0 0 1 2 1 4 0 0 1 0 0 0 0 3 0 0 1 0
"ADGRG3" 1 1 2 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0
"ADGRG4" 7 19 10 15 11 20 11 15 14 8 5 12 12 11 13 11 13 5
"ADGRG5" 4 0 2 9 5 3 4 5 2 1 4 4 0 0 3 0 5 1
"ADGRG6" 6 6 7 6 4 6 97 93 75 76 81 88 16 12 19 8 13 16
"ADGRG7" 2 0 0 2 4 6 1 3 0 2 0 3 1 1 4 1 0 0
"ADGRL2" 1 0 6 2 4 1 3 5 7 1 3 7 1 0 0 2 1 0
"ADGRL3" 0 1 5 4 1 1 1 0 1 0 2 0 0 0 0 1 0 0
"ADGRL4" 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0
"ADGRV1" 0 0 1 1 1 1 0 0 0 0 0 0 2 0 1 0 0 0
"ADH1C" 11 5 6 4 1 1 4 4 1 2 4 4 2 4 6 1 3 1
"ADH4" 19 52 42 10 20 19 23 20 36 22 28 32 34 43 42 22 16 26
"ADH6" 1 4 4 0 1 0 4 1 4 3 1 2 3 3 3 0 3 0
"ADHFE1" 0 0 0 1 1 0 1 1 0 2 2 1 1 5 4 0 2 1
"ADI1" 2 1 3 5 2 4 0 1 0 0 1 2 0 1 0 2 0 0
"ADIPOQ" 12 7 3 9 14 4 2 2 7 7 4 4 4 8 8 5 3 9
"ADIPOR1" 159 224 161 62 81 87 135 81 136 103 126 134 130 163 171 108 122 131
"ADIPOR2" 1 1 4 5 3 1 5 1 1 4 3 2 0 7 2 1 1 2
"ADIRF" 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
"ADK" 15 21 10 21 24 22 11 16 9 10 15 12 6 7 14 10 6 11
"ADM" 113 157 172 147 175 168 4 4 16 12 10 15 13 20 28 40 63 78
"ADM2" 1 1 4 9 3 2 4 2 2 3 3 5 4 15 4 3 1 2
"ADMP" 1 6 9 10 6 9 2 5 4 1 2 7 1 1 4 2 4 4
"ADNP" 92 122 96 61 88 105 144 144 112 105 108 139 131 142 190 112 106 123
"ADNP2" 0 5 0 2 2 2 3 1 4 4 1 3 1 1 1 1 0 0
"ADO" 14 20 10 26 33 30 7 9 24 6 8 23 5 4 10 4 6 16
"ADORA1" 0 0 0 5 1 1 0 0 0 0 0 0 0 0 0 0 0 2
"ADORA2A" 0 0 2 1 1 0 0 0 0 0 0 0 3 0 1 0 1 2
"ADORA2B" 1 1 1 40 33 25 3 1 4 1 2 4 1 2 6 1 4 4
"ADORA3" 0 0 1 7 9 7 1 2 0 1 2 3 3 2 3 4 1 3
"ADPGK" 10 7 6 15 15 20 10 15 13 10 17 17 8 6 5 4 5 6
"ADPRH" 1 0 3 2 1 0 0 0 2 0 1 0 0 0 0 0 0 0
"ADPRHL" 0 0 0 1 2 3 0 0 0 0 1 0 4 3 6 14 13 11
"ADPRHL1" 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0
"ADPRHL2" 1 1 0 2 4 0 1 0 1 0 3 0 0 1 0 2 2 0
"ADPRM" 519 472 506 315 424 478 531 480 677 541 649 706 272 372 253 424 534 853
"ADRA1A" 0 1 1 2 1 1 0 0 1 0 0 0 0 0 0 0 1 0
"ADRA1B" 1 4 2 7 4 0 3 3 0 0 1 6 1 1 5 2 2 7
"ADRA1D" 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 2 0
"ADRA2A" 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0
"ADRA2B" 0 2 1 5 1 1 0 1 0 2 0 0 0 0 0 0 0 1
"ADRA2BL2" 2 1 6 1 9 6 0 0 7 0 0 3 2 4 5 2 4 5
"ADRA2C" 0 2 0 0 0 0 2 0 2 1 4 0 0 0 1 0 0 1
"ADRB1" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ADRB2" 9 10 5 3 4 3 8 4 4 4 8 5 8 14 5 5 3 2
"ADRB3" 0 1 0 4 0 1 0 0 0 0 0 0 0 0 1 1 0 0
"ADRM1" 7 4 5 1 3 5 7 8 7 7 6 11 6 9 8 5 3 7
"ADSL" 0 4 2 10 11 8 0 1 1 0 1 4 2 5 5 5 8 11
"ADSS1" 6 12 15 16 20 16 4 5 6 5 5 4 6 7 10 12 8 12
"ADSS2" 6 10 7 10 14 10 4 2 8 1 5 3 3 0 5 6 15 20
"ADTRP" 5 5 5 64 61 46 4 7 13 2 7 10 2 2 2 3 1 1
"AEBP1" 186 281 219 59 63 85 285 135 279 254 279 345 263 301 250 129 158 111
"AEBP2" 2 5 12 11 15 20 1 4 4 1 7 6 3 3 5 3 8 23
"AEN" 0 2 3 2 1 2 1 0 2 1 1 5 1 2 3 3 4 5
"AES" 14 23 28 3 9 5 29 12 39 25 21 33 20 36 19 14 26 19
"AFAP1" 3 10 3 2 9 5 2 0 0 4 3 7 4 4 4 13 6 11
"AFAP1L1" 83 63 62 86 92 102 47 34 42 30 36 30 52 49 83 68 73 69
"AFAP1L2" 22 16 30 13 9 16 14 9 11 11 14 17 16 9 24 5 6 4
"AFDN" 3 5 3 3 3 5 6 2 1 4 8 5 13 5 5 5 2 3
"AFF1" 16 36 36 9 10 13 39 18 60 40 56 50 21 34 26 11 11 11
"AFF2" 1 1 6 2 2 1 2 0 0 1 3 0 4 2 3 1 2 1
"AFF3" 1 3 10 5 5 3 4 2 2 2 1 3 0 0 2 2 2 4
"AFF4" 1 1 3 8 8 14 3 1 4 5 3 4 4 2 5 3 6 3
"AFG1L" 0 2 5 3 1 2 3 5 6 2 3 2 0 6 5 2 0 6
"AFG3L2" 43 87 72 93 105 84 59 70 62 61 64 109 43 45 58 60 61 55
"AFMID" 46 67 49 19 42 22 28 31 25 18 16 31 7 19 14 11 16 21
"AFP" 0 0 3 0 0 0 1 1 1 0 0 0 1 1 2 0 2 11
"AFTPH" 6 4 21 10 5 8 1 3 2 2 3 3 13 5 6 7 11 13
"AGA" 0 2 2 3 0 1 0 1 0 0 0 0 2 0 1 0 0 2
"AGAP1" 30 49 43 25 15 23 42 21 41 38 37 55 24 33 25 28 22 23
"AGAP3" 11 9 20 12 8 5 10 7 5 10 9 10 8 16 12 12 17 16
"AGBL1" 0 0 3 3 2 2 1 0 0 0 0 0 2 0 0 0 0 2
"AGBL2" 17 24 28 21 22 19 10 3 14 6 14 9 17 27 23 20 21 24
"AGBL3" 1 1 1 0 8 6 5 8 5 3 1 5 1 2 3 1 2 3
"AGBL5" 2132 2067 1918 1176 1145 1131 1019 1149 1039 809 906 996 1049 1064 1521 1270 1299 1205
"AGFG1" 50 61 41 34 97 82 52 40 47 49 64 75 35 25 35 33 36 94
"AGGF1" 19 32 26 37 41 25 36 46 37 33 33 36 20 12 29 33 21 30
"AGK" 5 13 14 7 11 9 40 22 24 21 31 39 14 16 17 14 14 15
"AGL" 2 6 6 7 2 2 0 2 2 2 4 6 5 6 8 3 6 7
"AGMAT" 0 1 2 4 7 3 3 1 5 3 4 3 3 1 3 4 1 1
"AGMO" 0 0 1 2 1 0 0 0 0 0 0 0 0 0 0 0 0 1
"AGO1" 2 2 2 2 4 4 1 0 0 2 6 4 13 18 16 10 14 11
"AGO2" 31 58 30 15 23 21 37 40 42 37 26 48 39 36 52 18 21 14
"AGO3" 16 27 19 8 7 5 25 16 33 35 36 43 25 36 28 11 18 13
"AGO4" 10 17 16 15 13 16 17 19 13 10 13 12 6 10 15 10 12 22
"AGPAT1" 0 0 5 86 86 78 0 0 1 0 1 0 0 0 0 1 5 5
"AGPAT2" 0 0 5 3 3 3 1 0 4 0 2 1 3 0 1 1 0 0
"AGPAT3" 6 10 13 8 7 3 108 115 102 109 94 117 5 6 4 7 3 5
"AGPAT4" 8 4 10 5 9 2 11 16 11 14 17 13 13 11 14 2 1 8
"AGPAT5" 1 1 3 4 5 4 3 4 2 0 3 3 0 1 3 6 7 10
"AGPS" 16 18 15 29 37 29 6 8 12 5 11 7 7 10 10 13 20 15
"AGR2" 0 0 1 0 0 1 0 2 0 0 3 1 0 0 0 0 0 1
"AGR3" 0 1 0 1 4 5 4 9 1 4 4 3 1 1 1 1 1 3
"AGRN" 1 1 7 5 3 0 0 1 0 0 0 0 0 0 1 0 0 2
"AGRP" 15 21 21 32 32 46 23 14 16 14 22 22 19 13 19 19 17 16
"AGT" 2 1 8 1 2 4 7 1 4 3 4 3 5 3 6 4 6 4
"AGTPBP1" 15 15 9 13 12 19 14 12 8 6 6 7 18 16 11 17 17 12
"AGTR1" 0 1 1 3 4 3 3 4 2 2 4 6 0 2 5 0 2 0
"AGTR2" 0 0 4 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"AGTRAP" 0 0 0 3 0 1 1 0 0 1 0 1 0 0 0 0 0 0
"AGXT" 0 0 2 1 2 0 0 0 0 0 0 0 0 1 0 0 0 1
"AGXT2" 15 82 51 103 91 89 65 84 49 38 42 30 66 70 75 115 89 122
"AHCTF1" 0 3 4 3 7 3 2 4 1 0 3 5 5 2 8 5 3 5
"AHCY" 3 5 10 3 0 1 0 0 3 2 0 2 1 5 1 2 0 1
"AHCYL1" 8 7 3 15 11 16 7 4 1 8 2 3 4 3 1 9 10 17
"AHCYL2" 0 0 6 3 1 1 2 3 2 1 4 3 2 1 4 1 4 1
"AHDC1" 12 22 21 40 49 33 3 5 8 4 6 9 15 28 19 13 19 15
"AHI1" 0 1 0 19 11 11 0 0 0 0 1 1 4 0 3 0 0 4
"AHNAK2" 5 15 16 6 8 4 61 75 57 64 68 62 57 44 51 42 34 31
"AHR1A" 2 0 8 5 5 7 11 5 8 5 6 6 13 9 11 11 13 16
"AHR1B" 3 2 7 4 3 3 4 2 7 7 2 8 0 0 3 2 3 1
"AHR2" 33 34 29 3 17 17 22 9 14 16 26 24 16 15 21 22 21 17
"AHRR" 34 70 63 34 34 20 59 34 44 41 53 67 91 87 73 57 73 100
"AHSA1" 4 4 10 5 4 2 3 5 4 2 2 4 4 2 5 3 5 3
"AHSA2" 16 13 7 17 30 25 16 13 19 10 10 31 7 9 9 11 12 13
"AHSG" 4 5 2 5 5 9 2 5 2 0 0 1 3 2 4 0 2 3
"AICDA" 0 0 0 1 0 0 0 1 1 0 0 0 0 0 1 0 0 0
"AIDA" 2 3 7 2 1 4 4 4 2 2 4 2 4 8 4 2 0 4
"AIFM1" 5 10 11 4 7 14 19 19 20 9 22 15 7 5 5 1 5 1
"AIFM2" 19 34 30 20 27 22 25 23 16 15 14 16 20 12 19 15 12 12
"AIFM3" 0 0 2 2 5 7 0 1 0 0 0 0 0 0 2 1 0 0
"AIG1" 0 0 2 4 3 0 1 0 0 0 0 2 0 3 0 0 0 2
"AIM1" 24 22 14 11 15 15 30 34 35 31 23 26 27 24 31 14 13 15
"AIM1L" 0 1 2 3 2 2 0 0 0 0 0 0 0 0 1 2 0 0
"AIMP1" 1 0 1 0 1 0 0 0 0 0 0 0 0 1 0 1 2 0
"AIMP2" 25 38 21 30 39 48 17 27 24 22 38 30 33 33 42 45 45 46
"AIP" 144 146 127 189 268 287 79 77 124 72 103 92 62 83 77 155 167 294
"AIPL1" 0 0 3 0 1 1 1 0 3 1 3 0 1 0 0 0 0 2
"AIRE" 0 0 0 1 1 0 2 1 0 0 0 3 0 0 0 0 1 0
"AJAP1" 0 0 4 0 1 1 0 0 0 0 0 0 0 2 0 0 0 0
"AK1" 0 3 1 2 2 1 3 1 3 1 1 0 3 2 3 4 0 2
"AK2" 69 74 62 77 86 104 96 62 87 89 85 96 89 99 105 85 78 82
"AK3" 97 195 148 168 158 123 108 110 94 89 105 114 213 247 208 237 239 202
"AK4" 0 1 3 5 0 2 3 2 5 6 7 7 1 6 2 0 3 2
"AK5" 13 13 13 11 20 15 19 28 20 12 9 17 22 15 30 13 12 13
"AK6" 0 0 2 0 1 0 0 0 0 0 0 0 1 1 1 1 0 0
"AK7" 1 1 4 10 19 15 1 1 7 2 4 3 3 8 14 8 15 6
"AK8" 37 51 51 16 15 23 30 34 29 29 43 43 46 57 47 27 20 30
"AK9" 2 3 3 12 13 8 0 1 3 2 0 3 4 2 4 0 2 2
"AKAIN1" 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0
"AKAP1" 13 13 17 16 11 13 16 13 13 14 11 9 6 7 9 8 10 9
"AKAP10" 12 23 25 15 10 17 16 12 12 22 23 22 19 22 23 26 30 14
"AKAP11" 3 2 6 8 1 3 1 3 1 0 2 5 0 2 0 4 2 3
"AKAP12" 2 5 2 19 2 12 1 4 5 5 0 7 2 3 3 1 4 3
"AKAP13" 3 13 10 30 42 38 6 3 6 6 9 5 25 20 33 11 16 21
"AKAP14" 2 6 5 9 14 5 6 2 2 2 4 1 3 2 4 2 4 4
"AKAP17A" 0 1 1 2 4 3 1 1 1 0 0 0 1 0 0 2 4 4
"AKAP17B" 12186 13357 11255 2758 2923 3043 10425 9657 10680 7803 8945 10169 11800 10616 15035 11986 12618 12622
"AKAP5" 1 5 4 4 3 2 3 1 0 0 6 5 9 5 15 9 8 13
"AKAP6" 3 2 6 7 4 6 14 10 12 13 4 14 7 8 5 4 7 6
"AKAP7" 20 18 11 14 14 12 9 6 9 9 10 13 4 1 4 6 17 19
"AKAP8" 3 5 3 35 25 29 5 2 2 2 14 4 8 6 7 6 12 5
"AKAP8L" 2 0 3 2 3 5 0 1 2 6 1 4 1 2 1 1 2 1
"AKAP9" 4962 8169 7142 594 668 721 6282 2745 5993 5556 6629 7249 9364 10455 8389 3571 3598 2797
"AKIP1" 1 6 7 5 2 1 3 6 2 5 2 1 0 3 2 3 5 4
"AKIRIN2" 11 18 12 10 14 32 10 10 8 8 6 9 9 6 3 3 14 15
"AKNA" 3 4 0 0 8 3 3 0 2 4 1 4 4 1 2 1 1 2
"AKNAD1" 372 648 484 465 459 470 514 906 451 380 483 460 442 414 484 622 619 673
"AKR1A1" 37 51 31 52 53 57 39 36 42 28 37 42 36 35 34 25 32 26
"AKR1B1" 2 6 4 28 52 44 5 5 4 2 6 4 2 4 2 0 4 3
"AKR1B10" 9 8 12 3 8 1 2 1 2 1 6 4 2 10 4 2 3 4
"AKR1D1" 0 0 1 8 5 17 2 3 2 3 1 2 1 0 1 0 0 0
"AKR1E2" 2 4 6 7 11 8 2 7 10 9 5 6 7 4 10 0 6 12
"AKR7A2" 10 14 13 5 10 14 9 5 11 5 11 14 7 15 9 7 7 12
"AKT1" 19 32 26 78 57 61 16 18 28 11 20 14 35 30 62 28 40 51
"AKT3" 24 23 26 16 16 15 36 33 21 27 28 31 11 11 15 19 9 13
"AKTIP" 10 12 5 15 15 16 9 12 13 8 8 13 8 7 9 6 6 7
"ALAD" 53 48 49 15 20 23 27 26 31 17 18 26 32 40 60 24 32 39
"ALAS1" 8 6 5 16 14 12 1 8 6 4 8 5 5 6 10 4 8 5
"ALB" 0 0 4 1 0 2 0 0 0 1 1 0 0 0 0 1 0 1
"ALC" 0 0 0 0 0 0 0 1 0 0 0 2 0 0 1 0 0 0
"ALCAM" 1 8 1 9 10 9 2 3 4 2 2 3 3 0 3 3 2 4
"ALDH18A1" 23 26 40 17 20 18 25 10 7 15 12 9 18 7 21 24 12 10
"ALDH1A1" 0 0 1 1 1 3 0 0 0 0 0 0 0 0 2 0 0 0
"ALDH1A2" 0 2 1 1 0 2 2 8 2 2 0 3 3 4 2 0 1 1
"ALDH1A3" 33 41 34 42 27 27 27 43 25 20 32 33 40 31 54 35 28 34
"ALDH1L2" 834 994 782 940 914 938 763 688 715 578 626 747 626 661 690 1009 1039 1101
"ALDH2" 60 112 65 29 48 42 73 127 117 77 87 103 89 63 88 36 39 23
"ALDH3A2" 1 1 8 0 5 3 4 4 4 1 1 4 6 1 2 0 0 0
"ALDH3B1" 12 13 18 14 15 20 22 14 37 12 19 21 1 7 15 12 16 22
"ALDH3B2" 143 187 152 111 110 96 97 119 151 81 79 116 60 83 110 87 88 113
"ALDH4A1" 0 2 4 3 3 2 1 0 0 0 0 2 1 1 0 0 1 0
"ALDH5A1" 3 1 0 1 3 2 5 0 1 1 0 2 2 7 7 2 2 5
"ALDH6A1" 2 6 6 6 11 4 5 5 1 3 1 2 1 5 9 8 1 5
"ALDH7A1" 2 1 0 2 1 4 3 2 1 0 2 5 3 3 0 2 1 1
"ALDH8A1" 0 0 0 0 3 1 1 0 0 1 0 0 0 0 0 0 0 0
"ALDH9A1" 9 14 12 5 3 5 9 9 14 2 14 10 8 9 10 6 4 0
"ALDOA" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ALDOB" 0 1 1 1 1 0 2 3 1 2 0 1 0 1 3 0 0 0
"ALDOC" 32 42 28 4 9 6 40 9 28 21 33 36 38 42 19 18 13 16
"ALG1" 259 403 287 162 196 206 321 283 312 293 308 332 250 307 327 241 264 251
"ALG10" 6 1 4 3 4 5 3 4 4 3 3 2 12 14 5 8 12 14
"ALG11" 0 0 1 1 1 0 1 1 0 0 1 0 0 1 0 2 1 0
"ALG12" 12 17 10 16 21 17 7 14 19 7 20 19 13 20 13 13 13 8
"ALG13" 8 10 8 4 3 4 2 1 0 4 5 1 7 6 10 3 2 1
"ALG14" 3 0 1 4 2 7 2 4 2 6 2 10 2 3 0 2 2 7
"ALG2" 16 16 10 17 39 33 7 6 11 9 16 8 10 9 9 5 8 15
"ALG3" 1 3 1 12 13 11 1 2 4 5 1 4 3 4 0 0 5 2
"ALG5" 5 6 8 10 7 3 12 8 9 8 2 7 12 21 30 8 11 14
"ALG6" 4 3 2 0 2 3 0 7 0 3 4 3 3 1 3 4 0 0
"ALG8" 5 7 5 7 15 14 1 4 7 3 6 2 7 11 13 12 9 6
"ALG9" 6 3 4 3 3 8 5 6 6 4 5 3 3 2 4 1 6 5
"ALK" 0 1 2 0 2 2 2 3 5 3 3 2 0 1 1 0 1 0
"ALKBH1" 83 113 82 43 52 71 97 92 104 93 93 129 70 43 62 53 47 61
"ALKBH2" 125 146 105 50 62 73 107 74 110 101 90 111 194 179 181 147 138 164
"ALKBH3" 0 0 0 2 2 0 0 0 0 1 0 0 0 0 0 1 0 0
"ALKBH4" 3 2 4 20 10 15 1 4 4 1 10 12 2 1 7 2 5 8
"ALKBH5" 17 18 9 22 13 17 16 7 16 9 16 11 14 10 24 9 6 17
"ALKBH8" 3 4 1 5 2 2 3 1 1 1 0 0 2 3 2 2 2 2
"ALMS1" 0 3 1 15 9 14 0 2 2 3 0 2 7 5 4 8 7 10
"ALOX15B" 1 0 3 16 11 11 0 1 0 0 1 1 0 0 2 3 3 8
"ALOX5" 0 0 1 2 0 2 0 2 0 0 0 0 0 0 0 0 0 0
"ALOX5AP" 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ALPI" 0 0 1 0 0 4 0 0 0 0 0 0 0 0 0 0 1 0
"ALPK1" 0 0 0 30 29 30 0 1 0 2 2 1 1 0 1 1 0 0
"ALPK2" 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0
"ALPK3" 0 0 4 3 2 5 1 0 0 0 0 0 0 0 0 0 0 0
"ALPL" 10 12 9 9 9 8 8 2 10 7 8 12 6 7 6 0 3 8
"ALPPL" 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 1
"ALS2" 1 0 4 15 12 10 0 3 0 1 0 1 0 1 2 0 0 0
"ALS2L" 46 77 69 23 38 43 33 43 39 47 36 31 69 68 76 56 66 54
"ALX1" 0 0 1 1 0 0 1 0 0 0 0 0 1 1 3 0 1 1
"ALX4" 1173 1584 1637 320 380 456 445 176 415 365 436 424 462 600 473 480 479 518
"ALYREF" 3 6 3 3 14 11 4 3 8 8 6 9 3 4 5 4 9 14
"AMACR" 7 5 4 13 11 11 2 3 3 1 1 3 8 16 4 5 4 10
"AMBP" 0 0 0 0 0 0 2 0 1 0 1 1 0 1 1 0 2 0
"AMBRA1" 4 7 2 3 9 9 0 0 2 2 3 7 3 4 5 6 3 2
"AMD1" 3 7 7 12 11 14 1 3 1 1 6 4 5 5 2 2 3 9
"AMDHD1" 1 0 0 1 0 1 3 1 1 1 1 3 2 1 2 0 0 1
"AMDHD2" 5 7 1 6 7 9 1 4 3 3 3 10 3 4 4 5 6 14
"AMER1" 1 3 4 3 5 1 1 1 2 2 0 3 1 1 2 0 3 2
"AMER2" 0 0 1 3 2 3 0 1 0 0 0 0 0 0 0 0 0 0
"AMER3" 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0
"AMFR" 3 3 4 5 4 7 4 4 6 4 4 7 5 1 5 4 5 2
"AMH" 2 3 4 8 0 4 4 6 1 5 6 2 2 2 0 1 0 2
"AMHR2" 0 0 1 1 2 2 2 2 0 1 1 1 1 0 1 0 1 2
"AMIGO2" 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"AMIGO3" 17 19 17 6 12 9 15 10 16 9 11 19 15 11 32 6 9 11
"AMMECR1" 1 9 7 10 12 19 12 12 14 7 16 6 8 13 13 2 12 8
"AMMECR1L" 7 10 9 11 16 16 18 12 12 13 13 15 4 7 13 8 7 7
"AMN" 3 6 2 4 6 9 2 1 5 6 5 1 1 3 14 7 4 3
"AMN1" 0 0 3 1 2 0 0 0 0 0 0 0 0 2 0 1 0 0
"AMOT" 20 25 13 13 8 16 11 7 18 20 13 19 23 24 31 14 8 14
"AMOTL1" 10 16 15 14 10 6 15 20 15 15 8 11 16 13 13 6 13 19
"AMOTL2" 6 15 12 36 21 33 19 8 23 11 13 16 10 13 11 21 26 38
"AMPD1" 35 79 58 31 34 48 21 29 23 30 29 26 38 58 46 22 27 29
"AMPD2" 2 0 5 1 5 3 0 0 0 0 2 0 2 0 2 0 1 2
"AMPD3" 57 98 62 113 126 127 61 123 89 59 60 66 47 54 62 38 47 51
"AMPH" 0 1 2 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0
"AMT" 128 138 183 80 66 80 110 112 125 97 109 165 50 53 63 102 75 106
"AMY1A" 0 0 0 1 2 0 0 1 0 0 0 0 0 0 0 0 0 0
"AMY1AP" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"AMY2A" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"AMZ2" 1 2 3 9 18 12 4 3 3 5 5 4 6 4 5 13 4 11
"ANAPC1" 2 2 2 0 2 1 1 1 0 1 5 2 2 1 2 1 0 0
"ANAPC10" 1 1 12 13 7 6 2 1 2 1 1 1 6 3 3 2 3 6
"ANAPC11" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ANAPC13" 5 10 4 4 2 6 14 4 14 14 15 17 7 8 11 11 2 5
"ANAPC15" 1 0 2 3 2 9 3 1 0 0 0 0 0 1 2 0 0 2
"ANAPC16" 10 9 6 19 17 20 4 3 3 5 2 11 1 10 2 12 10 9
"ANAPC2" 0 1 4 5 5 5 0 4 3 1 2 2 5 3 3 1 1 0
"ANAPC4" 0 0 1 2 4 5 2 1 0 0 0 2 0 2 4 1 5 0
"ANAPC5" 9 17 16 99 102 125 11 20 23 9 11 5 4 16 8 8 8 4
"ANAPC7" 663 1030 847 273 246 273 768 700 739 706 791 913 929 1072 962 652 630 635
"ANGEL1" 31 42 22 30 44 32 19 33 30 13 20 27 19 24 17 18 14 17
"ANGEL2" 11 33 21 17 13 19 16 41 15 19 20 29 25 22 30 10 19 17
"ANGPT1" 0 0 0 2 2 2 0 0 1 1 2 2 1 1 3 8 1 10
"ANGPT1L" 2 2 1 3 3 0 1 0 0 0 0 0 1 0 0 0 0 0
"ANGPT2" 127 198 160 63 99 87 168 222 158 125 135 158 98 94 145 117 87 123
"ANGPT4" 0 0 2 2 8 6 0 0 0 0 0 1 0 0 0 1 0 0
"ANGPTL1" 3 11 6 4 5 7 15 23 19 11 17 19 29 20 22 11 8 5
"ANGPTL2" 127 186 135 43 40 44 112 137 110 103 125 116 96 91 109 59 71 91
"ANGPTL3" 98 183 98 34 41 40 74 81 83 57 55 64 123 112 197 94 71 82
"ANGPTL4" 9 15 17 22 21 29 15 7 16 19 21 17 13 11 8 14 9 10
"ANGPTL5" 1 3 1 4 2 2 1 0 0 0 0 0 0 2 1 0 3 0
"ANGPTL6" 3 3 7 3 1 5 7 4 9 5 9 6 2 1 1 2 1 3
"ANGPTL7" 26 56 19 27 13 18 31 54 29 37 30 34 37 21 44 31 24 23
"ANK1" 2 2 2 11 9 8 0 2 2 5 1 0 0 1 0 5 4 3
"ANK2" 15 11 23 39 47 26 17 25 25 19 22 24 18 28 25 16 27 21
"ANK3" 0 0 6 5 6 1 0 0 0 3 0 0 0 0 0 3 0 2
"ANKDD1A" 955 1068 945 627 695 703 501 575 539 412 477 489 631 525 744 652 715 636
"ANKDD1B" 44 71 42 39 50 33 43 47 39 23 28 41 26 20 54 58 48 55
"ANKEF1" 2 4 2 1 1 3 2 3 1 3 9 4 0 0 2 0 1 0
"ANKFN1" 0 0 0 4 1 0 0 0 0 0 0 0 1 0 0 1 0 0
"ANKFN1L" 17 13 22 10 9 11 5 2 6 0 7 5 5 10 16 8 10 9
"ANKFY1" 6 7 5 12 13 14 12 5 4 6 14 4 5 9 8 3 6 4
"ANKH" 5 5 6 10 5 7 2 0 8 4 5 7 5 4 2 1 5 4
"ANKHD1" 9 13 11 24 27 19 14 18 9 10 16 18 13 7 19 8 11 14
"ANKIB1" 58 59 45 74 92 108 20 35 29 21 24 27 62 57 91 36 43 47
"ANKK1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ANKLE1" 1 6 2 13 7 5 3 2 3 1 4 1 8 7 6 3 4 2
"ANKLE2" 173 279 180 137 166 175 259 281 276 196 198 196 126 140 210 205 172 222
"ANKMY1" 6 3 2 2 5 3 2 10 5 9 5 3 1 2 3 0 3 5
"ANKMY2" 0 3 2 2 2 10 1 1 5 1 3 1 1 0 2 3 3 6
"ANKRA2" 1 2 0 2 2 5 0 2 5 0 0 3 2 0 2 0 3 1
"ANKRD1" 1 9 9 8 9 6 5 2 1 4 7 8 6 8 5 10 4 5
"ANKRD10" 1 5 5 2 3 3 0 2 0 0 2 1 1 7 0 2 1 4
"ANKRD11" 10 22 30 26 40 32 17 16 20 19 21 28 20 17 22 14 16 14
"ANKRD12" 0 3 6 4 5 4 0 1 1 3 0 0 3 0 1 0 3 3
